Percentage,Continent
14.32 ,Asia
4.50 ,Asia
3.91 ,Asia
2.28 ,Asia
1.98 ,North America
1.87 ,Asia
1.87 ,South America
1.86 ,Asia
1.67 ,Europe
1.67 ,Europe
1.56 ,Asia
1.53 ,Europe
1.31 ,North America
1.23 ,South America
1.20 ,Asia
1.16 ,Europe
1.15 ,North America
1.00 ,Africa
1.00 ,Asia
0.95 ,Europe
0.91 ,Oceania
0.91 ,Europe
0.91 ,North America
0.77 ,South America
0.75 ,Asia
0.75 ,Europe
0.72 ,Africa
0.69 ,Asia
0.65 ,Asia
0.63 ,North America
0.60 ,Asia
0.59 ,Europe
