,Country,Count,angle,R_End_angle,R_Start_angle,Max_perc,Total_perc,End_angle,Start_angle
17,Algeria,1,3.3,3.3,0,1,1,3.3,0
31,Angola,1,3.3,6.6,3.3,0.26,0.26,6.6,3.3
43,Argentina,1,3.3,9.9,6.6,0.15,0.15,9.9,6.6
15,Australia,1,3.3,13.2,9.9,0.91,0.91,13.2,9.9
29,Austria,1,3.3,16.5,13.2,0.06,0.06,16.5,13.2
30,Bahrain,1,3.3,19.8,16.5,0.1,0.1,19.8,16.5
46,Brazil,1,3.3,23.1,19.8,0.77,0.77,23.1,19.8
4,Canada,4,13.2,36.3,23.1,0.22,0.66,60,20
3,China,4,13.2,49.5,36.3,14.32,16.45,60.5,32.3
25,Colombia,1,3.3,52.8,49.5,0.27,0.27,52.8,40.5
42,Czech,1,3.3,56.1,52.8,0.3,0.3,50.9,50.8
21,Denmark,1,3.3,59.4,56.1,0.11,0.11,59.4,56.1
11,Ecuador,1,3.3,62.7,59.4,0.12,0.12,62.7,59.4
34,Egypt,1,3.3,66,62.7,0.31,0.31,66,62.7
26,France,1,3.3,69.3,66,0.95,0.95,69.3,66
41,Germany,1,3.3,72.6,69.3,0.47,0.47,72.6,69.3
6,India,3,9.9,82.5,72.6,1.87,2.54,82.5,72.6
2,Indonesia,7,23.1,105.6,82.5,0.54,1.15,199,170
22,Iran,1,3.3,108.9,105.6,2.28,2.28,240,240
33,Iraq,1,3.3,112.2,108.9,0.6,0.6,112.2,108.9
45,Italy,1,3.3,115.5,112.2,0.59,0.59,188,188
36,Japan,1,3.3,118.8,115.5,0.12,0.12,118.8,115.5
9,Kazakhstan,2,6.6,125.4,118.8,0.53,0.66,125.4,118.8
19,Kuwait,1,3.3,128.7,125.4,1,1,128.7,125.4
40,Libya,1,3.3,132,128.7,0.5,0.5,132,128.7
38,Malaysia,1,3.3,135.3,132,0.69,0.69,135.3,132
27,Mexico,1,3.3,138.6,135.3,1.87,1.87,138.6,130.3
39,Netherlands,1,3.3,141.9,138.6,1.67,1.67,144.9,144.6
28,Nigeria,1,3.3,145.2,141.9,0.72,0.72,145.2,141.9
14,North Korea,1,3.3,148.5,145.2,0.23,0.23,148.5,145.2
7,Norway,2,6.6,155.1,148.5,0.52,0.73,155.1,148.5
23,Oman,1,3.3,158.4,155.1,0.31,0.31,158.4,155.1
35,Poland,1,3.3,161.7,158.4,1.16,1.16,161.7,158.4
16,Qatar,1,3.3,165,161.7,0.54,0.54,165,161.7
1,Russia,7,23.1,188.1,165,3.91,8.11,120.6,75.5
12,Saudi Arabia,1,3.3,191.4,188.1,4.5,4.5,135.9,135.8
10,South Africa,2,6.6,198,191.4,0.35,0.51,198,191.4
18,Spain,1,3.3,201.3,198,0.33,0.33,201.3,198
32,Switzerland,1,3.3,204.6,201.3,0.38,0.38,204.6,201.3
37,Syria,1,3.3,207.9,204.6,0.15,0.15,207.9,204.6
20,Thailand,1,3.3,211.2,207.9,0.11,0.11,211.2,207.9
8,Turkmenistan,2,6.6,217.8,211.2,0.36,0.43,217.8,211.2
44,Ukraine,1,3.3,221.1,217.8,0.49,0.49,217.1,217.8
13,United Arab Emirates,1,3.3,224.4,221.1,1.2,1.2,175,175
5,United Kingdom,3,9.9,234.3,224.4,1.53,2.87,234.3,229.4
0,United States,28,92.4,326.7,234.3,1.98,10.01,330,150.3
24,Venezuela,1,3.3,330,326.7,1.23,1.23,245.3,238.3
