,Count,Country,Max_perc,Total_perc,angle,End_angle,Start_angle
46,1,Algeria,1,1,4.5652173913,4.5652173913,2
14,1,Angola,0.26,0.26,4.5652173913,9.1304347826,4.5652173913
21,1,Argentina,0.15,0.15,4.5652173913,6.6956521739,6.1304347826
22,1,Australia,0.91,0.91,4.5652173913,18.2608695652,17.6956521739
15,1,Austria,0.06,0.06,4.5652173913,22.8260869565,11.2608695652
41,1,Bahrain,0.1,0.1,4.5652173913,27.3913043478,17.8260869565
42,1,Brazil,0.77,0.77,4.5652173913,31.9565217391,31.3913043478
3,4,Canada,0.22,0.66,4.5652173913,52.5217391304,23.9565217391
4,4,China,14.32,16.45,4.5652173913,80.0869565217,29.5217391304
30,1,Colombia,0.27,0.27,4.5652173913,45.652173913,41.0869565217
12,1,Czech,0.3,0.3,4.5652173913,50.2173913043,45.652173913
16,1,Denmark,0.11,0.11,4.5652173913,54.7826086957,50.2173913043
34,1,Ecuador,0.12,0.12,4.5652173913,59.347826087,54.7826086957
37,1,Egypt,0.31,0.31,4.5652173913,63.9130434783,56.347826087
45,1,France,0.95,0.95,4.5652173913,43.4782608696,42.9130434783
19,1,Germany,0.47,0.47,4.5652173913,52.0434782609,51.4782608696
5,3,India,1.87,2.54,4.5652173913,65.6086956522,63.0434782609
2,7,Indonesia,0.54,1.15,4.5652173913,92.1739130435,79.6086956522
33,1,Iran,2.28,2.28,4.5652173913,86.7391304348,82.1739130435
26,1,Iraq,0.6,0.6,4.5652173913,91.8043478261,91.7391304348
11,1,Italy,0.59,0.59,4.5652173913,180.8695652174,180.3043478261
38,1,Japan,0.12,0.12,4.5652173913,100.4347826087,95.8695652174
9,2,Kazakhstan,0.53,0.66,4.5652173913,105,100.4347826087
27,1,Kuwait,1,1,4.5652173913,109.5652173913,105
25,1,Libya,0.5,0.5,4.5652173913,114.1304347826,109.5652173913
31,1,Malaysia,0.69,0.69,4.5652173913,123.6956521739,123.1304347826
17,1,Mexico,1.87,1.87,4.5652173913,95.7608695652,95.6956521739
35,1,Netherlands,1.67,1.67,4.5652173913,130.8260869565,130.2608695652
44,1,Nigeria,0.72,0.72,4.5652173913,115.9913043478,115.8260869565
43,1,North Korea,0.23,0.23,4.5652173913,115.9565217391,115.3913043478
8,2,Norway,0.52,0.73,4.5652173913,118.5217391304,118.1565217391
13,1,Oman,0.31,0.31,4.5652173913,125.6695652174,125.5217391304
24,1,Poland,1.16,1.16,4.5652173913,170.9652173913,170.0869565217
28,1,Qatar,0.54,0.54,4.5652173913,131.5173913043,131.252173913
1,7,Russia,3.91,8.11,4.5652173913,172.7826086957,122.2173913043
39,1,Saudi Arabia,4.5,4.5,4.5652173913,109.347826087,109.1826086957
7,2,South Africa,0.35,0.51,4.5652173913,168.9130434783,168.347826087
36,1,Spain,0.33,0.33,4.5652173913,173.4782608696,173.9130434783
23,1,Switzerland,0.38,0.38,4.5652173913,178.0434782609,173.4782608696
32,1,Syria,0.15,0.15,4.5652173913,182.6086956522,178.0434782609
29,1,Thailand,0.11,0.11,4.5652173913,187.1739130435,182.6086956522
10,2,Turkmenistan,0.36,0.43,4.5652173913,191.7391304348,187.1739130435
20,1,Ukraine,0.49,0.49,4.5652173913,189.3043478261,189.7391304348
40,1,United Arab Emirates,1.2,1.2,4.5652173913,195.8695652174,195.3043478261
6,3,United Kingdom,1.53,2.87,4.5652173913,195.4347826087,192.8695652174
18,1,Venezuela,1.23,1.23,4.5652173913,168.5,168.4347826087
0,28,United States,,10.01,42,252,155
